,VehicleAge,VehOdo,AuctionVal,MakeVal,NationalityVal,VNSTVal,WarrantyCostVal,IsBadBuy,VehBCost,WheelTypeVal
49,4,50227,0,24,0,5,55,1,7500.0,2
50,7,82146,0,5,0,5,99,0,9400.0,0
51,4,58024,0,25,0,5,15,0,5600.0,1
52,4,40919,0,3,0,5,11,0,7700.0,1
53,5,87643,0,5,0,5,20,0,4600.0,1
54,5,80968,0,6,0,5,93,0,4600.0,1
55,4,50308,0,5,0,5,67,0,9635.0,0
56,3,80795,0,6,0,5,149,0,7700.0,0
57,4,62239,0,5,0,5,88,0,9135.0,0
58,6,87008,0,4,0,5,131,1,6900.0,0
59,4,64060,0,10,2,5,21,0,7535.0,0
60,8,77677,0,10,2,5,68,0,4200.0,1
61,7,58888,0,6,0,5,49,0,6300.0,0
62,4,63557,0,6,0,5,21,0,7100.0,1
63,7,90026,0,29,3,5,87,1,7900.0,0
64,5,89705,0,5,0,5,164,0,6100.0,0
65,6,64511,0,5,0,5,12,0,4100.0,0
66,5,75513,0,24,0,5,186,1,9100.0,0
67,4,80608,0,4,0,5,112,0,5800.0,0
68,9,95558,0,6,0,5,151,1,3700.0,0
69,3,35796,0,28,2,5,0,0,5900.0,1
70,4,83501,0,17,2,5,70,0,7300.0,0
71,3,70148,0,13,0,5,17,0,7300.0,0
72,4,76052,0,25,0,5,27,0,4900.0,1
73,4,72479,0,28,2,5,6,0,4600.0,0
74,5,84542,0,6,0,5,51,0,4500.0,1
75,5,61081,0,5,0,5,56,0,5900.0,0
76,9,86483,0,3,0,5,191,1,8300.0,0
77,4,43898,0,3,0,5,11,0,5600.0,1
78,4,57338,0,13,0,5,8,0,7500.0,0
79,7,59425,0,6,0,5,78,1,8700.0,2
80,5,79957,0,5,0,5,114,0,7700.0,1
81,7,78559,0,8,3,5,52,0,8000.0,0
82,3,48386,0,3,0,5,11,0,7200.0,0
83,7,80117,0,6,0,5,117,0,8100.0,0
84,6,65795,0,24,0,5,56,0,3100.0,0
85,5,51145,0,25,0,5,140,0,7500.0,1
86,6,88366,0,6,0,5,51,0,4400.0,0
87,5,55909,0,6,0,5,81,0,8500.0,0
88,5,86702,0,6,0,5,35,0,10100.0,0
89,4,81424,0,6,0,5,35,0,6900.0,0
90,6,65379,0,21,3,5,12,0,7700.0,1
91,6,74954,0,3,0,5,80,0,8900.0,0
92,8,49328,0,3,0,5,77,0,7400.0,0
93,7,73810,0,3,0,5,124,0,4100.0,1
94,3,43412,0,4,0,5,50,0,5800.0,1
95,6,78412,0,3,0,5,80,0,5100.0,0
96,6,74026,0,5,0,5,42,0,10200.0,0
97,8,64822,0,6,0,5,58,1,6100.0,0
98,6,80491,0,5,0,5,51,0,9400.0,0
99,5,85003,0,6,0,5,149,0,5600.0,1
100,4,65711,0,4,0,5,88,0,4700.0,1
101,5,56064,0,5,0,5,22,0,11300.0,0
102,4,62230,0,4,0,5,88,0,10100.0,1
103,3,62190,0,28,2,5,4,0,5400.0,1
104,5,67426,0,5,0,5,72,0,9400.0,1
105,6,75806,0,6,0,5,59,0,8600.0,0
106,5,88991,0,3,0,5,198,0,5900.0,1
107,3,89849,0,5,0,5,51,0,9900.0,0
108,4,81338,0,3,0,5,93,0,7900.0,0
109,5,80077,0,3,0,5,112,0,6600.0,0
110,8,77233,0,22,0,5,172,0,4600.0,1
111,5,66681,0,6,0,5,21,0,9500.0,0
112,9,82526,0,4,0,5,191,0,5200.0,1
113,3,81930,0,29,3,5,9,0,9700.0,1
114,4,74131,0,5,0,5,114,0,10600.0,0
115,7,72417,0,10,2,5,68,0,5100.0,1
116,3,64118,0,5,0,5,88,0,10100.0,1
117,5,71423,0,3,0,5,114,0,8800.0,0
118,6,64650,0,3,0,5,158,0,6800.0,1
119,5,85388,0,5,0,5,93,0,5000.0,0
120,6,95443,0,3,0,5,108,0,4300.0,1
121,4,69337,0,3,0,5,21,0,6500.0,0
122,3,46563,0,28,2,5,1,0,6100.0,1
123,6,84905,0,13,0,5,20,0,5400.0,0
124,3,71062,0,24,0,5,186,0,8200.0,0
125,4,80999,0,3,0,5,198,0,7900.0,1
126,3,66545,0,5,0,5,116,0,7800.0,0
127,6,67785,0,25,0,5,21,0,4400.0,0
128,3,71952,0,17,2,5,97,0,7500.0,0
129,4,70741,0,24,0,5,97,0,6900.0,0
130,7,94318,0,29,3,5,42,0,7100.0,1
131,5,69440,0,6,0,5,103,0,8600.0,0
132,5,54268,0,6,0,5,22,0,5200.0,1
133,7,59072,0,25,0,5,125,1,5100.0,2
134,6,86028,0,20,2,5,9,0,6300.0,1
135,6,64677,0,13,0,5,12,0,8500.0,0
136,7,68874,0,6,0,5,75,0,4100.0,0
137,7,64554,0,6,0,5,104,1,5300.0,0
138,5,73988,0,17,2,5,59,0,7135.0,0
139,4,23881,0,28,2,5,0,0,6200.0,1
140,3,50532,0,28,2,5,2,0,5600.0,1
141,5,60554,0,3,0,5,158,1,6200.0,1
142,7,91558,0,6,0,5,129,0,9800.0,0
143,9,63377,0,6,0,5,91,1,8300.0,0
144,6,59391,0,5,0,5,2,0,7600.0,0
145,3,44367,0,14,2,5,1,0,6300.0,1
146,5,44515,0,4,0,5,33,0,6100.0,1
147,9,83238,0,22,0,5,270,0,5100.0,0
148,8,92532,0,6,0,5,181,0,6400.0,0
149,3,68165,0,14,2,5,21,0,7300.0,1
150,6,87775,0,4,0,5,93,0,4600.0,0
151,9,86414,0,6,0,5,79,0,5800.0,0
152,4,36142,0,25,0,5,7,0,6300.0,0
153,6,80788,0,5,0,5,20,0,4100.0,1
154,5,93346,0,6,0,5,167,0,6600.0,0
155,3,73963,0,4,0,5,114,1,6400.0,1
156,3,68183,0,28,2,5,4,0,6600.0,1
157,5,64839,0,4,0,5,88,0,10400.0,0
158,8,75484,0,6,0,5,36,0,7100.0,0
159,6,59287,0,6,0,5,42,0,6100.0,0
160,4,63151,0,24,0,5,43,0,7100.0,1
161,5,46695,0,5,0,5,18,0,11700.0,0
162,7,58897,0,3,0,5,169,0,6500.0,0
163,5,65363,0,5,0,5,88,0,10500.0,1
164,8,75237,0,6,0,5,155,0,6600.0,0
165,4,85042,0,6,0,5,51,0,4600.0,0
166,4,87701,0,3,0,5,198,0,7200.0,1
167,7,92816,0,7,0,5,151,0,7700.0,0
168,7,97221,0,25,0,5,193,0,4600.0,1
169,5,73726,0,10,2,5,42,0,4100.0,1
170,5,47550,0,3,0,5,115,0,7800.0,1
171,6,63079,0,5,0,5,88,0,4600.0,1
172,6,64064,0,10,2,5,4,0,5000.0,1
173,7,88027,0,6,0,5,79,0,5700.0,0
174,5,82164,0,10,2,5,9,0,5600.0,1
175,4,84763,0,3,0,5,35,0,5900.0,1
176,5,52113,0,6,0,5,22,0,5600.0,1
177,3,49893,0,4,0,5,50,0,6600.0,1
178,7,92782,0,25,0,5,87,0,4700.0,0
179,4,46001,0,4,0,5,50,0,6500.0,1
180,6,62990,0,3,0,5,56,1,8300.0,1
181,6,78992,0,6,0,5,80,1,8300.0,0
182,4,64458,0,24,0,5,72,0,7400.0,0
183,6,60522,0,4,0,5,88,1,5900.0,1
184,8,73725,0,1,0,5,208,1,5900.0,0
185,4,71214,0,20,2,5,6,0,8000.0,0
186,6,60530,0,4,0,5,88,0,6300.0,0
187,5,66695,0,6,0,5,31,0,6000.0,0
188,4,89030,0,6,0,5,149,0,7700.0,0
189,4,36425,0,14,2,5,0,0,6500.0,1
190,5,58823,0,6,0,5,22,0,5800.0,0
191,5,72592,0,5,0,5,114,0,9400.0,0
192,4,79015,0,4,0,5,114,0,8700.0,0
193,8,88667,0,3,0,5,230,0,3900.0,0
194,4,58499,0,4,0,5,67,0,6300.0,1
195,5,95025,0,14,2,5,127,0,5600.0,0
196,2,50644,0,5,0,5,22,0,7500.0,1
197,4,88832,0,6,0,5,93,0,5800.0,0
198,7,68040,0,10,2,5,75,0,2800.0,1
199,3,58384,0,3,0,5,130,0,8300.0,0
200,3,79284,0,5,0,5,42,0,7000.0,1
201,6,80906,0,6,0,5,70,0,9500.0,0
202,6,94011,0,3,0,5,127,0,5900.0,0
203,8,86875,0,3,0,5,154,0,11100.0,0
204,3,61319,0,10,2,5,4,0,7235.0,1
205,6,79333,0,4,0,5,114,0,6100.0,1
206,7,92897,0,3,0,5,227,0,5300.0,1
207,5,59801,0,10,2,5,22,0,7935.0,0
208,5,75108,0,17,2,5,59,0,7400.0,0
209,7,67696,0,21,3,5,44,0,7300.0,1
210,5,50385,0,5,0,5,42,0,7300.0,0
211,5,58450,0,3,0,5,140,0,7200.0,1
212,4,75070,0,26,2,5,6,0,6300.0,3
213,4,73870,0,5,0,5,80,0,5500.0,0
214,3,43535,0,28,2,5,1,0,5800.0,1
215,4,55683,0,3,0,5,15,0,6000.0,1
216,5,58681,0,29,3,5,2,0,6300.0,1
217,4,62795,0,6,0,5,4,0,6200.0,2
218,6,77178,0,6,0,5,161,0,9335.0,2
219,5,69430,0,3,0,5,21,1,5600.0,2
220,4,86466,0,21,3,5,20,0,7400.0,2
221,4,69480,0,5,0,5,56,0,4700.0,2
222,7,86344,0,3,0,5,135,0,7000.0,2
223,8,79030,0,6,0,5,90,0,7100.0,2
224,8,94506,0,5,0,5,205,0,4600.0,2
225,4,77786,0,17,2,5,42,0,7300.0,0
226,5,67430,0,10,2,5,31,0,5100.0,1
227,6,73409,0,17,2,5,59,0,7100.0,0
228,3,60201,0,5,0,5,31,0,6400.0,1
229,3,49296,0,10,2,5,11,0,8500.0,1
230,4,61315,0,10,2,5,21,1,6700.0,0
231,4,84454,0,3,0,5,35,0,6700.0,0
232,5,85262,0,1,0,5,260,0,7200.0,1
233,2,72993,0,3,0,5,186,0,7600.0,0
234,5,89769,0,25,0,5,35,0,4900.0,1
235,5,68550,0,14,2,5,4,0,4800.0,1
236,4,62955,0,4,0,5,88,0,9935.0,1
237,5,75101,0,3,0,5,27,0,5135.0,1
238,5,88173,0,6,0,5,9,0,6100.0,0
239,4,52791,0,3,0,5,130,0,7400.0,1
240,5,85334,0,4,0,5,131,0,8335.0,0
241,3,69030,0,24,0,5,43,0,7535.0,1
242,5,64555,0,6,0,5,103,0,7935.0,0
243,9,66433,0,6,0,5,104,0,3600.0,0
244,5,77050,0,3,0,5,114,0,7900.0,1
245,4,84388,0,8,3,5,9,0,9000.0,1
246,4,52866,0,6,0,5,22,0,6600.0,0
247,7,45680,0,4,0,5,98,0,4600.0,1
248,3,63496,0,10,2,5,4,0,6235.0,1
249,9,78593,0,6,0,5,68,1,4600.0,2
250,8,93395,0,24,0,5,151,0,3100.0,1
251,4,53463,0,28,2,5,2,0,4300.0,1
252,6,83081,0,3,0,5,112,0,6100.0,0
253,6,73159,0,4,0,5,114,0,8300.0,0
254,4,75157,0,3,0,5,27,0,7400.0,0
255,5,73516,0,6,0,5,80,0,5500.0,1
256,6,65459,0,3,0,5,12,0,5900.0,1
257,9,92792,0,1,0,5,227,0,4700.0,0
258,6,82271,0,6,0,5,35,0,6600.0,0
259,5,88723,0,6,0,5,51,0,4900.0,1
260,5,72020,0,3,0,5,27,0,4700.0,1
261,5,77380,0,4,0,5,114,0,5235.0,1
262,4,50773,0,4,0,5,67,0,5000.0,1
263,5,58929,0,6,0,5,22,0,5500.0,1
264,8,79898,0,3,0,5,208,0,5100.0,0
265,4,91773,0,3,0,5,148,0,6800.0,1
266,6,62271,0,3,0,5,56,0,8600.0,0
267,4,66568,0,4,0,5,88,1,6150.0,1
268,3,63079,0,25,0,5,21,1,5800.0,1
269,8,82158,0,7,0,5,135,0,7600.0,0
270,6,60340,0,25,0,5,116,0,5700.0,1
271,5,92974,0,6,0,5,167,0,5900.0,0
272,5,74970,0,10,2,5,17,0,7600.0,0
273,3,62233,0,13,0,5,133,0,10050.0,0
274,6,79081,0,6,0,5,42,1,5500.0,0
275,7,55756,0,10,2,5,62,0,4500.0,1
276,3,53642,0,3,0,5,34,0,7600.0,1
277,3,73831,0,3,0,5,186,0,7900.0,0
278,3,88528,0,24,0,5,198,0,6800.0,1
279,6,94071,0,3,0,5,211,0,5100.0,1
280,3,38837,0,24,0,5,19,0,7200.0,1
281,3,89443,0,24,0,5,70,1,6100.0,1
282,6,97581,0,10,2,5,10,0,3800.0,1
283,4,85894,0,5,0,5,131,0,5100.0,1
284,3,52775,0,20,2,5,2,0,9200.0,0
285,2,53544,0,4,0,5,67,0,6200.0,1
286,4,68344,0,3,0,5,21,0,4200.0,1
287,4,79708,0,25,0,5,27,0,5600.0,1
288,6,79352,0,6,0,5,42,0,4000.0,1
289,4,71227,0,5,0,5,146,0,6400.0,0
290,5,43795,0,3,0,5,40,0,7100.0,0
291,2,79986,0,5,0,5,114,0,9000.0,1
292,8,73638,0,21,3,5,52,0,7350.0,0
293,6,74697,0,29,3,5,6,0,6800.0,1
294,4,84349,0,5,0,5,131,0,5500.0,1
295,5,69902,0,4,0,5,88,0,7800.0,1
296,2,70523,0,24,0,5,186,0,6850.0,1
297,4,63908,0,3,0,5,88,0,8950.0,1
298,4,53734,0,24,0,5,55,0,7950.0,0
299,2,51288,0,5,0,5,42,1,7600.0,2
300,5,41513,0,18,0,5,18,0,5150.0,1
301,6,71005,0,3,0,5,80,0,5300.0,0
302,3,38517,0,28,2,5,0,0,6100.0,1
303,2,50549,0,3,0,5,15,0,7700.0,1
304,8,74538,0,6,0,5,68,0,5000.0,0
305,6,76895,0,4,0,5,114,0,4600.0,1
306,3,64223,0,21,3,5,12,0,9950.0,1
307,6,77552,0,14,2,5,6,0,3700.0,1
308,4,91078,0,3,0,5,85,0,5500.0,1
309,4,72287,0,17,2,5,42,0,7250.0,0
310,5,86500,0,5,0,5,112,0,7600.0,1
311,2,71757,0,13,0,5,132,0,9900.0,0
312,6,92865,0,17,2,5,85,0,6600.0,0
313,2,79755,0,5,0,5,80,0,7850.0,1
314,8,94898,0,18,0,5,110,0,4200.0,0
315,4,86451,0,3,0,5,93,0,9050.0,1
316,7,74273,0,14,2,5,199,1,7300.0,0
317,1,79732,0,5,0,5,80,0,8100.0,0
318,3,47555,0,25,0,5,40,1,8200.0,0
319,6,92482,0,6,0,5,85,0,8100.0,0
320,2,88042,0,3,0,5,35,0,6900.0,1
321,4,98315,0,24,0,5,211,0,5900.0,0
322,7,82444,0,10,2,5,39,0,3700.0,1
323,4,97593,0,20,2,5,10,0,6050.0,1
324,2,54696,0,5,0,5,42,0,8800.0,1
325,2,61184,0,14,2,5,4,1,6100.0,1
326,5,71158,0,5,0,5,146,0,5900.0,0
327,1,80120,0,3,0,5,70,0,8800.0,1
328,6,77135,0,5,0,5,17,0,3600.0,1
329,3,94203,0,3,0,5,127,0,6000.0,1
330,2,49408,0,14,2,5,1,0,5300.0,1
331,2,32713,0,5,0,5,30,0,8800.0,1
332,6,80444,0,6,0,5,35,0,7800.0,0
333,1,60559,0,3,0,5,158,0,9000.0,0
334,5,89452,0,5,0,5,131,0,9700.0,0
335,5,97320,0,17,2,5,61,0,7200.0,0
336,2,63456,0,5,0,5,31,0,6600.0,0
337,6,87463,0,10,2,5,51,0,4000.0,1
338,4,91071,0,6,0,5,167,0,9600.0,0
339,3,70029,0,3,0,5,186,0,8550.0,0
340,1,62846,0,6,0,5,72,1,8650.0,0
341,2,44281,0,24,0,5,24,0,8450.0,1
342,6,60060,0,13,0,5,12,0,6600.0,0
343,7,52526,0,21,3,5,28,0,7650.0,0
344,3,85042,0,3,0,5,198,0,8000.0,0
345,5,83135,0,1,0,5,209,0,7450.0,0
346,5,107337,0,6,0,5,123,0,4350.0,0
347,3,76898,0,6,0,5,80,0,5100.0,1
348,4,69654,0,17,2,5,103,0,7250.0,3
349,4,74187,0,3,0,5,114,0,8000.0,1
350,5,76007,0,13,0,5,17,0,7600.0,0
351,6,75878,0,20,2,5,42,0,7200.0,0
352,5,44437,0,24,0,5,1,0,7400.0,0
353,4,87839,0,3,0,5,35,0,5000.0,1
354,4,82246,0,24,0,5,198,0,6500.0,0
355,4,66282,0,6,0,5,103,0,7000.0,0
356,5,88400,0,6,0,5,51,0,4900.0,0
357,7,76650,0,5,0,5,180,1,5000.0,3
358,2,60886,0,5,0,5,56,0,9100.0,1
359,3,75940,0,4,0,5,80,0,6900.0,1
360,4,56039,0,4,0,5,94,0,6900.0,1
361,6,49097,0,4,0,5,60,0,5200.0,0
362,2,51127,0,4,0,5,42,0,9600.0,1
363,4,77697,0,3,0,5,186,0,7750.0,0
364,5,72216,0,3,0,5,97,0,6200.0,0
365,7,86003,0,6,0,5,210,1,4600.0,0
366,9,47019,0,3,0,5,165,0,4500.0,1
367,3,66750,0,4,0,5,88,0,9500.0,1
368,3,76365,0,24,0,5,186,0,7750.0,0
369,4,98358,0,3,0,5,218,0,5000.0,1
370,4,70322,0,14,2,5,6,0,5500.0,1
371,3,89100,0,3,0,5,198,0,7300.0,1
372,7,71542,0,5,0,5,52,0,4400.0,0
373,2,73402,0,4,0,5,114,0,9650.0,1
374,7,97902,0,10,2,5,66,0,5100.0,0
375,4,32671,0,10,2,5,7,0,7500.0,0
376,4,89417,0,5,0,5,131,0,9400.0,1
377,2,35655,0,14,2,5,7,0,8400.0,1
378,3,40909,0,4,0,5,50,0,9600.0,1
379,5,70868,0,3,0,5,97,0,6400.0,0
380,2,51125,0,4,0,5,42,0,7200.0,1
381,8,86341,0,6,0,5,135,0,4200.0,0
382,2,54421,0,21,3,5,8,0,7350.0,1
383,9,50456,0,3,0,5,169,0,5300.0,0
384,3,81646,0,5,0,5,51,0,6200.0,1
385,6,77281,0,6,0,5,80,0,6350.0,0
386,4,61612,0,21,3,5,12,0,8400.0,1
387,3,77861,0,6,0,5,42,0,5350.0,1
388,5,76659,0,21,3,5,6,0,5350.0,1
389,1,56849,0,24,0,5,55,0,8400.0,0
390,4,84747,0,24,0,5,112,0,7250.0,1
391,2,72090,0,6,0,5,97,0,8600.0,0
392,2,82820,0,5,0,5,112,0,7800.0,0
393,7,80341,0,5,0,5,191,0,5700.0,0
394,6,107810,0,3,0,5,100,0,3900.0,1
395,5,110055,0,6,0,5,89,0,4050.0,1
396,5,66708,0,5,0,5,72,0,9750.0,0
397,5,54760,0,6,0,5,22,0,5650.0,0
398,2,73993,0,5,0,5,80,0,7400.0,1
399,4,67795,0,5,0,5,56,0,5900.0,0
400,5,71585,0,6,0,5,132,0,5050.0,1
401,3,75031,0,6,0,5,27,0,8850.0,0
402,5,82617,0,31,1,5,112,0,8000.0,0
403,4,62316,0,4,0,5,72,0,6100.0,0
404,7,80896,0,10,2,5,79,0,4900.0,1
405,6,75149,0,29,3,5,6,0,6950.0,3
406,4,76712,0,5,0,5,114,0,5800.0,0
407,6,81209,0,5,0,5,51,0,9100.0,0
408,4,54790,0,3,0,5,130,0,7800.0,0
409,3,86471,0,3,0,5,198,0,7400.0,1
410,7,84963,0,7,0,5,135,0,7350.0,0
411,2,79092,0,17,2,5,59,1,7500.0,2
412,7,71227,0,6,0,5,199,0,5050.0,0
413,5,25830,0,14,2,5,0,0,6050.0,1
414,7,64139,0,24,0,5,32,1,5650.0,1
415,4,64407,0,24,0,5,72,1,7900.0,2
416,7,92537,0,3,0,5,151,1,4550.0,0
417,5,67744,0,1,0,5,247,0,8150.0,1
418,5,97346,0,25,0,5,41,0,5250.0,0
419,4,95055,0,5,0,5,148,0,9550.0,0
420,6,63944,0,3,0,5,56,0,7950.0,0
421,5,82712,0,14,2,5,9,0,4150.0,1
422,2,82010,0,6,0,5,35,0,9100.0,0
423,5,70235,0,3,0,5,97,0,6250.0,1
424,5,66699,0,6,0,5,31,0,5500.0,0
425,5,86495,0,3,0,5,93,0,3550.0,1
426,4,52492,0,18,0,34,22,1,4985.0,1
427,4,62529,0,4,0,34,88,0,7825.0,0
428,3,68473,0,3,0,34,158,0,6810.0,1
429,4,40556,0,3,0,34,11,0,6100.0,0
430,6,69946,0,14,2,34,178,0,7625.0,0
431,2,81858,0,3,0,34,209,1,6985.0,0
432,5,81835,0,3,0,34,277,0,5245.0,0
433,6,85629,0,6,0,34,171,1,10290.0,2
434,5,53292,0,3,0,34,55,0,6255.0,0
435,4,80531,0,3,0,34,112,1,5475.0,0
436,4,73576,0,6,0,34,27,0,9005.0,0
437,5,61524,0,13,0,34,31,0,7465.0,0
438,7,64381,0,22,0,34,187,1,7495.0,2
439,4,82007,0,3,0,34,198,1,4665.0,1
440,6,95657,0,6,0,34,181,0,8505.0,0
441,2,47662,0,5,0,34,50,0,10315.0,0
442,7,70214,0,6,0,34,90,1,2230.0,1
443,3,89240,0,4,0,34,131,1,7695.0,2
444,3,89750,0,3,0,34,198,1,5275.0,1
445,3,45593,0,5,0,34,50,0,10010.0,1
446,2,50610,0,4,0,34,67,0,9585.0,1
447,2,55844,0,25,0,34,15,0,5975.0,1
448,4,62107,0,3,0,34,21,0,4265.0,1
449,2,58203,0,5,0,34,67,0,8405.0,1
450,2,65711,0,4,0,34,56,0,6685.0,1
451,4,88353,0,3,0,34,93,0,3340.0,0
452,3,77678,0,6,0,34,132,0,7595.0,0
453,3,62212,0,3,0,34,72,0,6685.0,1
454,3,76302,0,4,0,34,80,0,4565.0,0
455,5,73731,0,10,2,34,27,1,5275.0,2
456,5,91888,0,25,0,34,41,1,4140.0,1
457,6,46237,0,10,2,34,26,1,4140.0,1
458,4,68820,0,18,0,34,31,0,8195.0,0
459,3,59634,0,4,0,34,55,0,6885.0,0
460,5,70425,0,4,0,34,80,0,4265.0,1
461,3,63761,0,3,0,34,158,0,7185.0,1
462,6,88176,0,3,0,34,217,1,5775.0,2
463,7,75513,0,4,0,34,155,1,4365.0,1
464,3,61126,0,10,2,34,4,0,6285.0,1
465,7,74134,0,3,0,34,124,0,2830.0,1
466,6,70788,0,3,0,34,208,1,6985.0,0
467,5,62838,0,12,2,34,56,0,7695.0,0
468,4,75635,0,21,3,34,17,0,8095.0,1
469,5,97016,0,13,0,34,61,0,5875.0,0
470,2,69971,0,3,0,34,21,0,5675.0,0
471,2,63029,0,5,0,34,88,0,9105.0,1
472,4,80706,0,3,0,34,198,0,7895.0,0
473,3,49794,0,5,0,34,33,0,5875.0,0
474,4,79435,0,24,0,34,186,0,5875.0,1
475,4,56676,0,4,0,34,67,0,4775.0,1
476,5,68387,0,5,0,34,56,1,4275.0,2
477,5,56092,0,10,2,34,2,0,5985.0,1
478,8,88072,0,4,0,34,171,0,3950.0,0
479,3,51215,0,3,0,34,130,1,7905.0,1
480,4,74080,0,10,2,34,80,1,7065.0,2
481,5,54558,0,20,2,34,34,0,7065.0,0
482,2,72035,0,3,0,34,27,1,5785.0,2
483,3,60059,0,5,0,34,56,1,6295.0,1
484,5,55986,0,24,0,34,153,0,5685.0,1
485,2,66578,0,10,2,34,21,1,7795.0,0
486,5,81862,0,10,2,34,9,1,4040.0,1
487,5,73693,0,5,0,34,80,1,4865.0,1
488,4,54522,0,24,0,34,153,0,6175.0,1
489,4,77456,0,3,0,34,132,1,8195.0,2
490,4,54290,0,28,2,34,2,1,4965.0,1
491,6,78508,0,4,0,34,189,0,3500.0,0
492,2,63709,0,3,0,34,72,0,6785.0,1
493,3,73383,0,25,0,34,27,0,5875.0,1
494,6,54069,0,3,0,34,257,1,5995.0,2
495,6,90643,0,25,0,34,87,0,3825.0,1
496,6,69407,0,6,0,34,134,1,10665.0,2
497,6,78106,0,21,3,34,90,0,5995.0,0
498,8,44717,0,18,0,34,53,0,4280.0,0
499,4,64056,0,4,0,34,72,0,6025.0,0
500,8,78278,0,4,0,34,180,0,4630.0,0
501,5,87873,0,3,0,34,93,0,9255.0,0
502,6,91830,0,3,0,34,205,1,9335.0,2
503,5,86858,0,24,0,34,198,0,5575.0,0
504,3,78859,0,14,2,34,42,0,6385.0,0
505,4,78832,0,3,0,34,80,0,4140.0,1
506,3,57583,0,3,0,34,15,0,6585.0,1
507,5,64436,0,5,0,34,116,0,10715.0,0
508,6,66212,0,3,0,34,202,0,4365.0,0
509,5,78616,0,10,2,34,6,0,4665.0,1
510,3,53786,0,3,0,34,130,0,7795.0,0
511,6,92877,0,6,0,34,220,1,3100.0,2
512,2,86812,0,24,0,34,198,0,5775.0,0
513,6,82382,0,21,3,34,57,1,7465.0,2
514,4,63756,0,4,0,34,143,0,8555.0,0
515,2,72668,0,10,2,34,27,1,6985.0,1
516,5,78213,0,24,0,34,6,0,6175.0,1
517,5,82989,0,4,0,34,188,0,7295.0,0
518,3,58897,0,17,2,34,55,0,8305.0,1
519,4,74844,0,6,0,34,161,1,8245.0,2
520,6,63732,0,6,0,34,104,1,3835.0,2
521,5,73688,0,3,0,34,186,0,8155.0,0
522,2,72849,0,3,0,34,59,0,6035.0,1
523,2,87459,0,3,0,34,209,0,6745.0,1
524,6,95776,0,8,3,34,151,0,6915.0,0
525,3,74633,0,5,0,34,146,0,7355.0,0
526,2,53163,0,4,0,34,67,0,6345.0,1
527,5,71809,0,6,0,34,42,0,6695.0,0
528,3,60843,0,4,0,34,88,0,9015.0,0
529,6,39390,0,25,0,34,126,1,6265.0,2
530,5,71105,0,1,0,34,256,0,7605.0,0
531,3,74014,0,3,0,34,186,0,7195.0,1
